currency,size_usdt,direct,lever,reduce_only
1000SHIBUSDT,100.0,SHORT,2,
PEOPLEUSDT,100.0,SHORT,2,
MEMEUSDT,100.0,SHORT,2,
1000BONKUSDT,100.0,SHORT,2,
MYROUSDT,100.0,SHORT,2,
BOMEUSDT,100.0,SHORT,2,
NOTUSDT,100.0,SHORT,2,
TURBOUSDT,100.0,SHORT,2,
BANANAUSDT,100.0,SHORT,2,
BRETTUSDT,100.0,SHORT,2,
NEIROUSDT,100.0,SHORT,2,
CATIUSDT,100.0,SHORT,2,
PONKEUSDT,100.0,SHORT,2,
1000000MOGUSDT,100.0,SHORT,2,
DEGENUSDT,100.0,SHORT,2,
BANUSDT,100.0,SHORT,2,
SLERFUSDT,100.0,SHORT,2,
1000WHYUSDT,100.0,SHORT,2,
THEUSDT,100.0,SHORT,2,
SPXUSDT,100.0,SHORT,2,
PENGUUSDT,100.0,SHORT,2,
FARTCOINUSDT,100.0,SHORT,2,
COOKIEUSDT,100.0,SHORT,2,
TRUMPUSDT,100.0,SHORT,2,
MELANIAUSDT,100.0,SHORT,2,
ANIMEUSDT,100.0,SHORT,2,
VINEUSDT,100.0,SHORT,2,
BANKUSDT,100.0,SHORT,2,
MERLUSDT,100.0,SHORT,2,
1000000BOBUSDT,100.0,SHORT,2,
NEWTUSDT,100.0,SHORT,2,
BULLAUSDT,100.0,SHORT,2,
TOSHIUSDT,100.0,SHORT,2,
MONUSDT,100.0,SHORT,2,
COMMONUSDT,100.0,SHORT,2,
CLANKERUSDT,100.0,SHORT,2,
BOBUSDT,100.0,SHORT,2,
