currency,size_usdt,direct,lever,reduce_only
1000SHIBUSDT,100.0,SHORT,2,
PEOPLEUSDT,100.0,SHORT,2,
1000PEPEUSDT,100.0,SHORT,2,
1000FLOKIUSDT,100.0,SHORT,2,
MEMEUSDT,100.0,SHORT,2,
1000BONKUSDT,100.0,SHORT,2,
WIFUSDT,100.0,SHORT,2,
MYROUSDT,100.0,SHORT,2,
BOMEUSDT,100.0,SHORT,2,
WUSDT,100.0,SHORT,2,
NOTUSDT,100.0,SHORT,2,
TURBOUSDT,100.0,SHORT,2,
MEWUSDT,100.0,SHORT,2,
BANANAUSDT,100.0,SHORT,2,
BRETTUSDT,100.0,SHORT,2,
POPCATUSDT,100.0,SHORT,2,
DOGSUSDT,100.0,SHORT,2,
NEIROUSDT,100.0,SHORT,2,
GOATUSDT,100.0,SHORT,2,
MOODENGUSDT,100.0,SHORT,2,
1000000MOGUSDT,100.0,SHORT,2,
BANUSDT,100.0,SHORT,2,
SLERFUSDT,100.0,SHORT,2,
1000CHEEMSUSDT,100.0,SHORT,2,
SPXUSDT,100.0,SHORT,2,
PENGUUSDT,100.0,SHORT,2,
FARTCOINUSDT,100.0,SHORT,2,
COOKIEUSDT,100.0,SHORT,2,
TRUMPUSDT,100.0,SHORT,2,
MELANIAUSDT,100.0,SHORT,2,
