currency,size_usdt,direct,lever,reduce_only
LRCUSDT,80.0,SHORT,2,
SKLUSDT,80.0,SHORT,2,
CTSIUSDT,80.0,SHORT,2,
IMXUSDT,80.0,SHORT,2,
OPUSDT,80.0,SHORT,2,
ACHUSDT,80.0,SHORT,2,
ARBUSDT,80.0,SHORT,2,
LOOMUSDT,80.0,SHORT,2,
STPTUSDT,80.0,SHORT,2,
RIFUSDT,80.0,SHORT,2,
MANTAUSDT,80.0,SHORT,2,
ALTUSDT,80.0,SHORT,2,
STRKUSDT,80.0,SHORT,2,
METISUSDT,80.0,SHORT,2,
REZUSDT,80.0,SHORT,2,
BBUSDT,80.0,SHORT,2,
ZKUSDT,80.0,SHORT,2,
ZROUSDT,80.0,SHORT,2,
POLUSDT,80.0,SHORT,2,
SAFEUSDT,80.0,SHORT,2,
PROMUSDT,80.0,SHORT,2,
LAYERUSDT,80.0,SHORT,2,
PLUMEUSDT,80.0,SHORT,2,
NILUSDT,80.0,SHORT,2,
KERNELUSDT,80.0,SHORT,2,
ERAUSDT,80.0,SHORT,2,
ZORAUSDT,80.0,SHORT,2,
BASUSDT,80.0,SHORT,2,
LINEAUSDT,80.0,SHORT,2,
ZKCUSDT,80.0,SHORT,2,
LIGHTUSDT,80.0,SHORT,2,
LITUSDT,80.0,SHORT,2,
MAGMAUSDT,80.0,SHORT,2,
